Date,Time,Tilted GHI
20100226,11,946.8148863504381
20100226,12,951.1424421332722
20100226,13,869.2366915231066
20100226,14,707.3488616760999
20100226,15,481.2516979071089
20100226,16,237.67604820484667
20100226,17,28.798284029864753
20100226,18,0.0
20100226,19,0.0
20100226,20,0.0
20100226,21,0.0
20100226,22,0.0
20100226,23,0.0
20100227,00,0.0
20100227,01,0.0
20100227,02,0.0
20100227,03,0.0
20100227,04,0.0
20100227,05,0.0
20100227,06,20.011008852025206
20100227,07,410.9790940600224
20100227,08,449.1746868178915
20100227,09,700.7779516703312
20100227,10,783.1323445083522
20100227,11,851.1950114731246
20100227,12,814.1798896064109
20100227,13,876.0927018783381
20100227,14,730.3851453143584
20100227,15,506.0793113458761
20100227,16,251.18054607554282
20100227,17,30.396203507191878
20100227,18,0.0
20100227,19,0.0
20100227,20,0.0
20100227,21,0.0
20100227,22,0.0
20100227,23,0.0
20100228,00,0.0
20100228,01,0.0
20100228,02,0.0
20100228,03,0.0
20100228,04,0.0
20100228,05,0.0
20100228,06,22.071239714730456
20100228,07,461.9609749030291
20100228,08,474.8137327236279
20100228,09,683.9913403734968
20100228,10,844.016748513076
20100228,11,976.5447843393091
20100228,12,982.5803240185559
20100228,13,870.8213100354602
20100228,14,747.9016534027672
20100228,15,523.7273139873528
20100228,16,250.8310385705946
20100228,17,30.624436129155352
20100228,18,0.0
20100228,19,0.0
20100228,20,0.0
20100228,21,0.0
20100228,22,0.0
20100228,23,0.0
